[2017-10-13 11:56:37,403] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=state.change.logger (state.change.logger)
[2017-10-13 11:56:55,831] TRACE Controller 0 epoch 2 received response {error_code=0} for a request sent to broker RVPTINTCL155SWL.CORP.CHARTERCOM.com:9092 (id: 0 rack: null) (state.change.logger)
[2017-10-13 11:57:29,604] TRACE Controller 0 epoch 2 changed partition [input,0] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:29,617] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [input,0] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:29,700] TRACE Controller 0 epoch 2 changed partition [input,0] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:29,702] TRACE Controller 0 epoch 2 sending become-leader LeaderAndIsr request (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:2) to broker 0 for partition [input,0] (state.change.logger)
[2017-10-13 11:57:29,716] TRACE Controller 0 epoch 2 sending UpdateMetadata request (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:2) to brokers Set(0) for partition input-0 (state.change.logger)
[2017-10-13 11:57:29,718] TRACE Broker 0 received LeaderAndIsr request PartitionState(controllerEpoch=2, leader=0, leaderEpoch=0, isr=0, zkVersion=0, replicas=0) correlation id 1 from controller 0 epoch 2 for partition [input,0] (state.change.logger)
[2017-10-13 11:57:29,719] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [input,0] from NewReplica to OnlineReplica (state.change.logger)
[2017-10-13 11:57:29,732] TRACE Broker 0 handling LeaderAndIsr request correlationId 1 from controller 0 epoch 2 starting the become-leader transition for partition input-0 (state.change.logger)
[2017-10-13 11:57:29,935] TRACE Broker 0 stopped fetchers as part of become-leader request from controller 0 epoch 2 with correlation id 1 for partition input-0 (state.change.logger)
[2017-10-13 11:57:29,937] TRACE Broker 0 completed LeaderAndIsr request correlationId 1 from controller 0 epoch 2 for the become-leader transition for partition input-0 (state.change.logger)
[2017-10-13 11:57:29,952] TRACE Controller 0 epoch 2 received response {error_code=0,partitions=[{topic=input,partition=0,error_code=0}]} for a request sent to broker RVPTINTCL155SWL.CORP.CHARTERCOM.com:9092 (id: 0 rack: null) (state.change.logger)
[2017-10-13 11:57:29,958] TRACE Broker 0 cached leader info (LeaderAndIsrInfo:(Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:2),ReplicationFactor:1),AllReplicas:0) for partition input-0 in response to UpdateMetadata request sent by controller 0 epoch 2 with correlation id 2 (state.change.logger)
[2017-10-13 11:57:29,960] TRACE Controller 0 epoch 2 received response {error_code=0} for a request sent to broker RVPTINTCL155SWL.CORP.CHARTERCOM.com:9092 (id: 0 rack: null) (state.change.logger)
[2017-10-13 11:57:31,239] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,19] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,240] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,30] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,241] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,47] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,241] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,29] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,242] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,41] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,242] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,39] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,243] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,10] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,243] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,17] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,244] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,14] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,244] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,40] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,245] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,18] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,246] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,26] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,246] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,0] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,247] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,24] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,247] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,33] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,248] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,20] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,249] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,21] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,250] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,3] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,250] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,5] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,251] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,22] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,251] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,12] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,252] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,8] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,252] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,23] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,253] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,15] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,254] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,48] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,254] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,11] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,255] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,13] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,256] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,49] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,256] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,6] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,257] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,28] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,258] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,4] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,258] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,37] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,258] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,31] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,260] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,44] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,260] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,42] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,260] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,34] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,261] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,46] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,261] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,25] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,262] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,45] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,262] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,27] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,263] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,32] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,263] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,43] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,264] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,36] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,264] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,35] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,265] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,7] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,265] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,9] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,266] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,38] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,266] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,1] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,267] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,16] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,267] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,2] state from NonExistentPartition to NewPartition with assigned replicas 0 (state.change.logger)
[2017-10-13 11:57:31,514] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,25] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:31,587] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,12] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:31,714] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,31] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:31,722] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,40] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:31,730] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,35] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:31,740] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,9] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:31,825] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,43] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:31,863] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,2] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:31,895] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,11] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:31,903] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,29] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:31,915] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,30] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:31,926] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,4] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:31,978] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,42] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,002] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,26] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,005] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,34] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,008] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,17] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,012] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,37] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,016] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,27] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,019] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,10] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,101] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,41] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,110] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,20] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,116] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,28] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,139] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,46] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,148] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,39] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,161] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,47] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,168] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,49] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,171] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,22] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,173] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,1] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,175] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,24] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,177] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,6] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,180] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,36] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,182] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,8] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,188] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,38] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,190] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,16] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,192] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,21] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,194] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,18] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,196] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,0] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,197] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,48] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,199] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,5] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,201] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,13] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,203] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,3] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,205] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,44] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,206] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,15] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,209] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,7] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,211] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,19] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,213] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,33] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,215] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,45] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,218] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,23] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,220] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,32] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,222] TRACE Controller 0 epoch 2 changed state of replica 0 for partition [__consumer_offsets,14] from NonExistentReplica to NewReplica (state.change.logger)
[2017-10-13 11:57:32,281] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,19] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,303] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,30] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,324] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,47] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,348] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,29] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,375] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,41] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,400] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,39] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,420] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,10] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,440] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,17] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,461] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,14] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,485] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,40] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,504] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,18] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,524] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,26] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,547] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,0] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,570] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,24] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,589] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,33] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,608] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,20] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,626] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,21] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,647] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,3] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,673] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,5] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,698] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,22] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,720] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,12] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,750] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,8] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,782] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,23] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,804] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,15] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,826] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,48] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,848] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,11] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,870] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,13] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,891] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,49] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,912] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,6] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
[2017-10-13 11:57:32,932] TRACE Controller 0 epoch 2 changed partition [__consumer_offsets,28] from NewPartition to OnlinePartition with leader 0 (state.change.logger)
